id,cluster
3020180025466-api_xml-1-IMG-1,25
3020120015713-api_xml-1-IMG-1,12
3020220050756-api_xml-0-IMG-0,31
3020210026507-api_xml-2-IMG-2,27
3020190011820-api_xml-2-IMG-2,10
3020200001089-api_xml-0-IMG-0,19
3020250012543-api_xml-2-IMG-2,9
3020130029180-api_xml-0-IMG-0,15
3020200019224-api_xml-2-IMG-2,20
3020250017782-api_xml-0-IMG-0,2
3020210003643-api_xml-0-IMG-0,6
3020110041960-api_xml-0-IMG-0,49
3020210013719-api_xml-2-IMG-2,25
3020200061646-api_xml-0-IMG-0,31
3020170005863-api_xml-2-IMG-2,37
3020210032730-api_xml-1-IMG-1,36
3020240012540-api_xml-0-IMG-0,38
3020220051207-api_xml-1-IMG-1,38
3020160035560-api_xml-2-IMG-2,38
3020200006254-api_xml-0-IMG-0,12
3020230005384-api_xml-2-IMG-2,27
3020170022977-api_xml-1-IMG-1,30
3020180054885-api_xml-1-IMG-1,15
3020230049584-api_xml-2-IMG-2,42
3020180059644-api_xml-1-IMG-1,10
3020130056918-api_xml-1-IMG-1,33
3020240019066-api_xml-1-IMG-1,11
3020180044628-api_xml-1-IMG-1,38
3020200036117-api_xml-0-IMG-0,45
3020150017705-api_xml-1-IMG-1,45
3020180004162-api_xml-1-IMG-1,4
3020160046668-api_xml-2-IMG-2,29
3020240044195-api_xml-1-IMG-1,2
3020140001761-api_xml-1-IMG-1,45
3020140042566-api_xml-2-IMG-2,42
3020250038028-api_xml-1-IMG-1,14
3020150040735-api_xml-1-IMG-1,30
3020210011946-api_xml-2-IMG-2,11
3020250042456-api_xml-1-IMG-1,32
3020200056169-api_xml-1-IMG-1,30
3020200005485-api_xml-1-IMG-1,10
3020130005382-api_xml-1-IMG-1,49
3020250053609-api_xml-0-IMG-0,16
3020100045055-api_xml-0-IMG-0,31
3020210054746-api_xml-2-IMG-2,36
3020170058187-api_xml-2-IMG-2,16
3020220013464-api_xml-1-IMG-1,14
3020150001136-api_xml-1-IMG-1,39
3020240005805-api_xml-2-IMG-2,25
3020240042201-api_xml-1-IMG-1,3
3020190053761-api_xml-0-IMG-0,13
3020180036866-api_xml-0-IMG-0,37
3020220017709-api_xml-0-IMG-0,17
3020200057691-api_xml-0-IMG-0,25
3020240036260-api_xml-1-IMG-1,3
3020170034163-api_xml-2-IMG-2,43
3020160060084-api_xml-0-IMG-0,17
3020250000718-api_xml-2-IMG-2,18
3020240040051-api_xml-0-IMG-0,6
3020120056609-api_xml-2-IMG-2,47
3020230014492-api_xml-1-IMG-1,16
3020200054745-api_xml-0-IMG-0,23
3020240007313-api_xml-0-IMG-0,27
3020200048034-api_xml-2-IMG-2,41
3020240018363-api_xml-2-IMG-2,18
3020130038905-api_xml-0-IMG-0,7
3020110028352-api_xml-2-IMG-2,14
3020190046941-api_xml-1-IMG-1,33
3020240021971-api_xml-1-IMG-1,19
3020120015123-api_xml-2-IMG-2,45
3020160058218-api_xml-2-IMG-2,36
3020210062774-api_xml-1-IMG-1,2
3020120002659-api_xml-2-IMG-2,10
3020120055441-api_xml-0-IMG-0,45
3020140049987-api_xml-2-IMG-2,20
3020240006147-api_xml-0-IMG-0,43
3020230027661-api_xml-0-IMG-0,27
3020220016388-api_xml-0-IMG-0,12
3020230014397-api_xml-0-IMG-0,39
3020180003613-api_xml-0-IMG-0,27
3020240038352-api_xml-2-IMG-2,23
3020220038612-api_xml-0-IMG-0,25
3020220031605-api_xml-0-IMG-0,37
3020110006530-api_xml-1-IMG-1,8
3020100043421-api_xml-2-IMG-2,29
3020210016715-api_xml-1-IMG-1,29
3020150038262-api_xml-1-IMG-1,19
3020160047695-api_xml-2-IMG-2,3
3020230006460-api_xml-1-IMG-1,18
3020220034688-api_xml-1-IMG-1,5
3020220033523-api_xml-1-IMG-1,45
3020200016604-api_xml-2-IMG-2,0
3020230024072-api_xml-1-IMG-1,2
3020210055099-api_xml-0-IMG-0,49
3020120009724-api_xml-0-IMG-0,37
3020240008606-api_xml-2-IMG-2,20
3020230013058-api_xml-1-IMG-1,40
3020160041492-api_xml-1-IMG-1,47
3020170011454-api_xml-1-IMG-1,9
3020120015055-api_xml-2-IMG-2,11
3020210026225-api_xml-0-IMG-0,25
3020110052377-api_xml-1-IMG-1,4
3020170060967-api_xml-0-IMG-0,25
3020200042135-api_xml-2-IMG-2,16
3020210052491-api_xml-0-IMG-0,12
3020220011901-api_xml-2-IMG-2,0
3020230029308-api_xml-0-IMG-0,16
3020210013919-api_xml-2-IMG-2,43
3020240047066-api_xml-2-IMG-2,23
3020210009980-api_xml-0-IMG-0,1
3020170001726-api_xml-1-IMG-1,0
3020230026222-api_xml-0-IMG-0,36
3020140001746-api_xml-2-IMG-2,0
3020170033130-api_xml-1-IMG-1,5
3020200059922-api_xml-1-IMG-1,29
3020200020636-api_xml-1-IMG-1,21
3020200023786-api_xml-0-IMG-0,18
3020220024538-api_xml-1-IMG-1,9
3020110009963-api_xml-0-IMG-0,17
3020190005818-api_xml-0-IMG-0,21
3020140063045-api_xml-1-IMG-1,1
3020160030815-api_xml-0-IMG-0,0
3020100037257-api_xml-2-IMG-2,47
3020140012281-api_xml-2-IMG-2,19
3020140046798-api_xml-0-IMG-0,27
3020140060720-api_xml-0-IMG-0,12
3020230002332-api_xml-2-IMG-2,8
3020200048804-api_xml-1-IMG-1,3
3020140028760-api_xml-2-IMG-2,40
3020240002459-api_xml-0-IMG-0,16
3020230032538-api_xml-0-IMG-0,40
3020240047894-api_xml-1-IMG-1,19
3020170016759-api_xml-0-IMG-0,30
3020160058627-api_xml-0-IMG-0,36
3020120008570-api_xml-0-IMG-0,49
3020220020498-api_xml-1-IMG-1,17
3020190055356-api_xml-0-IMG-0,8
3020200051473-api_xml-0-IMG-0,17
3020160007749-api_xml-0-IMG-0,25
3020240028063-api_xml-0-IMG-0,17
3020250043071-api_xml-0-IMG-0,39
3020230001267-api_xml-0-IMG-0,23
3020150047925-api_xml-0-IMG-0,34
3020110022366-api_xml-0-IMG-0,17
3020170038948-api_xml-2-IMG-2,46
3020190033215-api_xml-1-IMG-1,33
3020160016326-api_xml-2-IMG-2,18
3020180049424-api_xml-0-IMG-0,23
3020200050864-api_xml-2-IMG-2,17
3020160058951-api_xml-0-IMG-0,39
3020240049893-api_xml-0-IMG-0,40
3020230014501-api_xml-2-IMG-2,28
3020180010929-api_xml-2-IMG-2,2
3020160025764-api_xml-2-IMG-2,45
3020100028312-api_xml-2-IMG-2,30
3020240034073-api_xml-2-IMG-2,43
3020170013278-api_xml-0-IMG-0,8
3020230015755-api_xml-2-IMG-2,46
3020120052396-api_xml-0-IMG-0,39
3020180028442-api_xml-2-IMG-2,18
3020190049593-api_xml-2-IMG-2,20
3020240013167-api_xml-1-IMG-1,21
3020200025879-api_xml-0-IMG-0,3
3020210025370-api_xml-2-IMG-2,10
3020170018273-api_xml-2-IMG-2,0
3020170022865-api_xml-0-IMG-0,7
3020230034530-api_xml-2-IMG-2,3
3020140010755-api_xml-0-IMG-0,7
3020210023947-api_xml-2-IMG-2,45
3020140032019-api_xml-2-IMG-2,30
3020180015783-api_xml-0-IMG-0,31
3020190002463-api_xml-1-IMG-1,10
3020190019532-api_xml-1-IMG-1,20
3020170011699-api_xml-0-IMG-0,15
3020210044477-api_xml-0-IMG-0,43
3020210050468-api_xml-1-IMG-1,2
3020150016840-api_xml-1-IMG-1,14
3020140045936-api_xml-0-IMG-0,29
3020180009362-api_xml-0-IMG-0,31
3020120005036-api_xml-2-IMG-2,4
3020220003210-api_xml-1-IMG-1,30
3020220053099-api_xml-0-IMG-0,31
3020150044393-api_xml-1-IMG-1,32
3020130004564-api_xml-1-IMG-1,28
3020110035638-api_xml-2-IMG-2,29
3020150042637-api_xml-2-IMG-2,8
3020140024777-api_xml-1-IMG-1,32
3020200017208-api_xml-0-IMG-0,25
3020200044131-api_xml-0-IMG-0,5
3020240017567-api_xml-0-IMG-0,34
3020220039140-api_xml-0-IMG-0,40
3020130013052-api_xml-2-IMG-2,3
3020180033683-api_xml-0-IMG-0,39
3020200027402-api_xml-2-IMG-2,33
3020210001044-api_xml-2-IMG-2,9
3020160058536-api_xml-0-IMG-0,9
3020200057223-api_xml-0-IMG-0,8
3020140012509-api_xml-1-IMG-1,47
3020240054229-api_xml-1-IMG-1,22
3020120046385-api_xml-1-IMG-1,12
3020120019904-api_xml-2-IMG-2,45
3020240039149-api_xml-0-IMG-0,1
3020220001509-api_xml-2-IMG-2,22
3020160014988-api_xml-0-IMG-0,23
3020160048091-api_xml-0-IMG-0,8
3020110018517-api_xml-2-IMG-2,30
3020250003683-api_xml-0-IMG-0,12
3020230040775-api_xml-0-IMG-0,21
3020110051940-api_xml-2-IMG-2,8
3020180010766-api_xml-0-IMG-0,17
3020240053090-api_xml-0-IMG-0,13
3020220008187-api_xml-1-IMG-1,45
3020230045149-api_xml-0-IMG-0,16
3020200024462-api_xml-2-IMG-2,18
3020170007961-api_xml-1-IMG-1,5
3020200064164-api_xml-1-IMG-1,10
3020220004561-api_xml-0-IMG-0,1
3020240000100-api_xml-0-IMG-0,34
3020230013030-api_xml-0-IMG-0,13
3020160047376-api_xml-1-IMG-1,5
3020220039239-api_xml-1-IMG-1,7
3020230005057-api_xml-2-IMG-2,2
3020180057270-api_xml-2-IMG-2,28
3020200040141-api_xml-1-IMG-1,20
3020240054080-api_xml-1-IMG-1,20
3020180062493-api_xml-0-IMG-0,12
3020130039790-api_xml-1-IMG-1,1
3020210054375-api_xml-0-IMG-0,43
3020210013915-api_xml-2-IMG-2,43
3020230032255-api_xml-0-IMG-0,5
3020230052945-api_xml-0-IMG-0,34
3020220048400-api_xml-0-IMG-0,47
3020250012690-api_xml-2-IMG-2,27
3020250016846-api_xml-2-IMG-2,45
3020190047448-api_xml-2-IMG-2,20
3020200032718-api_xml-0-IMG-0,34
3020240054378-api_xml-2-IMG-2,13
3020130027305-api_xml-2-IMG-2,10
3020250032489-api_xml-0-IMG-0,36
3020170006443-api_xml-1-IMG-1,25
3020220024534-api_xml-1-IMG-1,10
3020230030764-api_xml-1-IMG-1,33
3020250008340-api_xml-2-IMG-2,11
3020130031362-api_xml-0-IMG-0,36
3020200037806-api_xml-2-IMG-2,18
3020120053303-api_xml-1-IMG-1,8
3020240006738-api_xml-1-IMG-1,0
3020230012699-api_xml-2-IMG-2,22
3020210021140-api_xml-0-IMG-0,43
3020190049057-api_xml-2-IMG-2,2
3020190003223-api_xml-0-IMG-0,43
3020180014885-api_xml-2-IMG-2,26
3020160048886-api_xml-0-IMG-0,12
3020230007502-api_xml-2-IMG-2,38
3020230047942-api_xml-2-IMG-2,13
3020170042499-api_xml-2-IMG-2,42
3020240048621-api_xml-2-IMG-2,6
3020230018516-api_xml-1-IMG-1,5
3020200018576-api_xml-2-IMG-2,3
3020240023418-api_xml-2-IMG-2,20
